date;description;evidence;amount;type
2023-7-8;Modal crowdfunding;Rahma (@rhmfzh._) | Instagram;1000000;Pemasukkan
2023-7-9;Pembelian tepung;Rahma (@rhmfzh._) | Instagram;200000;Pengeluaran
2023-7-10;Pembelian telur;Rahma (@rhmfzh._) | Instagram;300000;Pengeluaran
2023-7-11;Penjualan ke pt sejahtera selamanya;Rahma (@rhmfzh._) | Instagram;2000000;Pemasukkan
2023-7-12;Gaji karyawan;Rahma (@rhmfzh._) | Instagram;500000;Pengeluaran
2023-7-13;Pengembalian dana pertama;Rahma (@rhmfzh._) | Instagram;750000;Pengeluaran
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
